fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
11.12,0.292,0.957,7.57,0.139,15,187,0.99134,3.31,0.81,13.44,0
12.15,1.339,0.5,6.73,0.058,26,254,0.99646,3.42,0.32,13.52,4
13.47,1.273,0.433,9.16,0.176,48,215,0.99262,3.0,0.81,12.96,1
9.98,1.163,0.458,14.99,0.042,19,149,1.00481,3.6,1.28,9.78,7
5.04,0.154,0.209,11.66,0.02,9,101,0.99842,3.82,0.94,14.03,2
10.45,0.555,0.369,6.27,0.146,64,249,1.00031,3.11,1.21,14.25,0
11.04,0.495,0.37,12.5,0.1,54,91,0.99488,3.39,1.79,9.36,1
12.95,0.64,0.052,2.98,0.171,51,189,0.99142,3.97,1.85,8.91,9
9.18,0.231,0.768,0.94,0.083,39,126,1.00464,3.2,0.75,14.83,9
5.53,1.505,0.417,3.46,0.042,4,97,0.99429,3.51,1.09,14.08,6
7.41,0.931,0.822,5.44,0.169,3,75,0.99636,2.91,1.23,14.25,5
8.36,0.558,0.85,7.9,0.114,64,138,0.99975,3.53,1.91,14.2,7
11.75,0.695,0.212,9.42,0.046,29,284,0.99037,2.91,2.0,11.79,6
10.85,0.771,0.657,13.7,0.147,11,142,1.00215,3.95,0.7,12.52,9
8.27,1.001,0.472,7.89,0.107,58,192,0.99805,3.66,1.54,11.82,7
15.84,0.874,0.88,7.77,0.125,27,226,0.99417,3.75,0.94,8.36,2
11.27,1.479,0.216,1.23,0.098,21,51,0.99092,3.64,0.31,13.22,5
6.85,0.845,0.678,1.01,0.167,39,283,0.99244,3.51,0.32,11.54,6
5.22,1.588,0.608,8.49,0.168,46,197,1.00343,3.34,1.08,12.53,9
5.83,1.377,0.295,6.85,0.145,66,13,1.00029,3.83,1.13,11.52,10
6.95,0.413,0.137,12.67,0.03,36,281,0.99375,3.95,0.34,11.44,0
5.93,1.496,0.652,2.83,0.169,65,184,0.99098,3.4,1.47,9.2,0
6.24,0.275,0.739,0.86,0.137,63,44,1.00036,3.92,0.8,9.95,6
7.42,1.326,0.316,7.01,0.142,35,298,0.99859,3.5,1.25,9.11,10
6.08,0.671,0.645,3.94,0.079,31,183,0.99607,3.45,0.81,9.37,2
14.76,1.417,0.395,1.22,0.177,28,167,0.99545,3.35,0.58,14.81,2
4.96,1.402,0.713,11.01,0.148,1,109,0.99325,3.05,0.99,9.07,4
10.29,1.309,0.199,2.12,0.031,25,166,1.00004,2.8,0.69,9.88,10
8.92,1.285,0.89,9.32,0.087,43,292,1.00456,3.09,1.21,12.13,5
15.79,0.557,0.287,4.58,0.178,67,128,0.99264,3.41,0.64,12.27,1
5.34,0.221,0.368,3.02,0.019,63,59,0.99896,3.26,1.16,9.08,2
8.77,0.704,0.058,6.01,0.193,51,39,0.99636,3.34,0.57,13.56,5
15.63,0.36,0.112,12.12,0.139,2,247,0.9967,3.98,1.44,13.5,2
14.39,1.142,0.516,6.19,0.13,64,118,0.99381,3.22,1.58,9.66,4
13.8,0.619,0.268,11.39,0.061,74,28,1.00238,3.34,0.49,10.02,8
7.09,1.563,0.835,2.32,0.057,69,51,0.99728,2.96,1.1,14.57,2
6.05,1.061,0.015,11.71,0.189,9,140,0.99815,2.86,0.42,13.78,10
12.02,1.334,0.379,3.94,0.067,2,123,0.99457,3.73,1.32,12.88,5
15.15,0.299,0.337,10.32,0.157,34,194,0.99273,3.48,0.75,8.58,10
10.68,1.393,0.019,8.7,0.085,60,136,0.99129,3.71,1.2,10.93,4
10.86,1.484,0.124,13.97,0.036,61,217,1.00071,2.98,1.18,11.92,4
7.36,0.831,0.414,6.12,0.012,31,118,0.99294,3.49,1.87,9.31,10
13.23,1.009,0.493,1.46,0.113,10,49,1.00035,3.1,1.23,11.14,5
6.24,1.247,0.404,0.78,0.195,36,133,0.99586,3.07,1.29,12.21,5
7.88,0.362,0.531,12.49,0.08,49,163,0.99624,2.81,0.98,10.29,0
9.11,0.854,0.595,8.11,0.078,70,278,0.99704,2.96,1.91,13.47,10
10.09,0.698,0.01,11.74,0.075,49,50,0.99552,3.17,1.62,13.88,8
6.91,0.32,0.464,3.9,0.109,3,113,0.99151,2.94,0.79,10.27,4
5.38,0.651,0.963,5.5,0.094,74,224,0.99464,3.98,1.74,13.87,0
11.33,0.202,0.519,0.94,0.177,5,182,0.99996,3.17,1.04,8.73,7
7.46,0.139,0.678,14.44,0.106,61,233,0.99999,2.96,1.71,13.86,6
10.97,0.303,0.312,10.18,0.106,26,196,0.99429,3.04,1.7,9.07,6
5.85,1.545,0.774,14.03,0.036,72,165,0.9969,3.51,0.62,8.58,4
9.77,0.924,0.773,4.35,0.197,5,272,0.9929,2.88,1.49,12.49,0
10.39,1.549,0.521,9.37,0.057,15,195,0.99316,3.83,0.79,11.3,8
4.62,0.749,0.976,10.34,0.024,16,180,0.99035,3.95,0.81,14.36,10
8.04,0.568,0.126,5.1,0.136,1,295,1.00345,3.1,0.8,10.54,8
5.61,0.859,0.017,12.8,0.123,16,150,0.99316,3.34,1.53,10.01,7
4.76,0.759,0.77,14.23,0.089,37,237,0.99341,2.83,0.69,11.51,4
15.88,0.258,0.807,13.33,0.09,3,209,0.99419,3.57,0.3,11.19,2
7.87,1.061,0.12,11.22,0.159,52,218,0.99191,3.3,1.52,10.41,7
13.72,0.424,0.266,4.52,0.047,47,45,0.99959,3.12,0.59,12.86,0
7.06,1.029,0.018,4.58,0.166,13,280,0.99113,3.05,0.48,13.32,2
12.18,1.075,0.293,14.47,0.133,55,87,0.99201,3.58,0.7,13.97,10
13.12,0.328,0.773,0.65,0.09,21,186,0.99967,3.3,0.95,14.81,6
11.15,0.192,0.518,10.88,0.097,66,88,0.99509,3.02,1.11,9.87,3
9.66,1.271,0.348,10.74,0.059,54,267,1.00062,3.63,0.38,13.01,6
8.94,0.79,0.372,9.53,0.153,27,277,0.99836,3.48,1.95,10.76,10
8.19,0.187,0.001,14.86,0.107,38,205,0.99384,3.83,1.52,12.74,4
15.15,1.592,0.3,5.02,0.071,58,245,0.99976,2.94,0.85,11.33,5
13.97,0.187,0.646,5.43,0.123,62,185,0.99174,3.74,0.84,14.96,6
15.58,1.143,0.974,1.64,0.199,46,176,0.99805,3.61,1.06,13.1,9
5.49,1.576,0.847,6.92,0.093,11,182,0.99656,2.94,1.36,14.67,6
12.77,0.459,0.024,4.29,0.185,72,242,0.99402,3.63,0.55,13.84,6
15.26,0.313,0.899,5.48,0.076,8,143,0.99906,3.33,0.62,14.32,6
6.17,0.282,0.783,12.6,0.02,71,134,1.00307,3.93,1.76,13.7,10
4.8,0.555,0.78,14.06,0.049,64,54,1.00498,2.97,0.74,11.21,6
12.89,0.252,0.458,3.19,0.09,21,169,0.99912,3.57,0.95,9.76,2
10.89,1.138,0.398,5.9,0.052,72,282,0.99607,3.26,1.78,10.59,2
14.1,0.193,0.303,13.97,0.01,63,298,0.99338,3.95,1.43,8.14,6
5.68,0.864,0.066,1.4,0.184,64,121,0.99386,3.2,0.88,11.67,1
13.54,1.595,0.228,1.84,0.17,20,29,0.99719,3.95,1.46,11.54,1
6.42,1.321,0.247,2.86,0.151,8,30,0.99551,3.88,0.33,11.68,2
5.96,1.023,0.484,9.13,0.042,58,132,1.00371,3.12,1.55,14.82,3
5.97,0.559,0.747,2.68,0.033,46,239,0.99552,3.76,1.13,14.38,5
13.77,1.036,0.474,14.54,0.023,31,214,0.9956,3.99,1.68,9.13,7
11.98,0.891,0.058,6.98,0.148,9,98,0.99575,3.1,1.92,10.58,9
10.28,0.739,0.958,7.77,0.186,15,99,1.00255,3.32,1.87,10.97,9
8.31,0.296,0.943,4.08,0.092,26,230,0.99976,3.42,1.85,10.52,6
14.53,1.43,0.785,7.33,0.033,10,285,0.99921,3.15,1.17,13.59,3
8.71,0.775,0.991,10.1,0.107,29,16,0.99501,2.82,0.91,11.67,1
13.8,0.392,0.544,11.39,0.076,36,17,1.00227,3.06,1.09,12.0,1
9.27,0.652,0.963,11.43,0.081,37,40,0.99058,3.14,1.47,13.97,3
8.52,0.721,0.076,8.88,0.128,71,233,1.00306,3.33,1.8,13.64,5
9.55,1.341,0.366,13.61,0.147,23,225,0.99769,3.01,0.65,8.93,2
7.62,1.2,0.225,12.35,0.031,41,146,0.99597,3.85,1.86,13.0,5
12.97,1.254,0.196,11.48,0.017,28,28,0.99746,3.65,1.69,11.05,4
10.03,0.117,0.141,1.31,0.199,48,88,1.00001,2.9,1.96,10.06,4
6.79,0.724,0.622,0.6,0.054,38,234,0.99019,3.58,1.8,8.35,1
14.79,0.822,0.781,3.58,0.02,31,85,1.00307,3.58,0.78,11.41,7
8.61,0.129,0.578,10.12,0.046,14,295,0.9967,3.95,0.48,10.49,4
10.52,0.49,0.147,6.46,0.017,73,164,0.99514,2.8,0.49,9.76,10
14.88,1.24,0.811,6.33,0.084,29,133,0.99207,3.1,0.8,12.86,1
11.49,0.306,0.636,13.33,0.162,51,195,0.99659,3.91,1.34,13.39,6
5.4,0.903,0.388,13.49,0.075,49,36,0.99744,3.92,1.67,9.71,8
15.28,0.423,0.674,13.68,0.094,43,20,0.99605,3.66,1.83,8.35,8
11.53,0.118,0.26,5.05,0.138,72,80,1.00018,3.72,1.36,13.94,0
8.02,0.462,0.345,10.52,0.107,5,39,0.99631,2.91,0.31,8.07,6
5.67,1.564,0.917,4.44,0.174,42,201,1.00442,3.42,0.62,14.56,8
13.53,1.302,0.291,3.26,0.175,7,34,0.99899,3.08,0.47,12.39,5
11.44,1.539,0.47,3.18,0.012,42,199,1.00211,3.02,0.92,10.25,0
10.4,0.832,0.89,5.46,0.158,36,21,0.99164,3.77,1.15,9.73,1
14.73,0.265,0.708,6.73,0.098,27,82,0.99596,2.96,0.37,8.06,3
13.46,0.922,0.062,12.55,0.198,58,298,0.99505,3.36,0.89,9.65,3
5.82,0.782,0.147,2.24,0.102,46,86,0.99854,3.93,0.6,8.96,1
7.74,1.367,0.008,11.16,0.198,66,129,1.00292,3.02,1.4,12.29,7
6.98,0.247,0.631,8.21,0.153,25,24,0.99118,3.97,1.09,9.17,1
12.93,0.832,0.448,4.68,0.057,73,107,0.99109,3.99,1.14,11.7,2
4.4,0.325,0.134,7.65,0.112,27,82,1.00275,3.47,1.03,12.13,3
10.84,0.587,0.958,4.85,0.199,1,234,0.99319,3.0,1.93,10.09,8
13.15,1.206,0.53,9.14,0.173,74,208,1.00003,3.18,0.67,8.25,9
14.52,0.814,0.242,6.79,0.028,42,66,0.99814,3.31,1.18,8.26,0
8.1,0.664,0.501,2.88,0.144,52,31,1.00249,3.17,1.55,8.18,7
13.86,0.692,0.68,2.19,0.076,25,76,0.99188,3.14,1.25,13.17,4
5.33,0.789,0.076,8.43,0.011,54,108,0.99195,3.97,1.88,10.23,6
14.16,1.278,0.275,13.58,0.087,67,162,0.99835,2.98,0.94,13.57,7
5.53,1.438,0.807,5.49,0.055,6,199,1.0042,3.68,1.09,11.02,4
8.77,1.533,0.46,11.13,0.166,58,280,0.99622,2.8,0.45,11.17,7
13.57,1.28,0.547,10.05,0.074,70,191,0.9949,3.52,1.34,11.59,9
5.8,0.573,0.433,14.01,0.167,53,118,0.9991,3.9,0.79,12.99,10
6.75,1.132,0.044,12.4,0.01,66,170,1.00396,3.15,0.57,9.91,7
12.67,0.756,0.166,8.72,0.068,58,66,1.00255,3.02,1.23,8.85,8
12.64,0.482,0.446,10.03,0.056,2,97,1.00493,3.58,1.2,11.89,1
11.69,1.361,0.209,13.53,0.054,22,291,0.99034,3.66,0.43,10.29,2
12.33,0.158,0.05,6.29,0.023,37,158,0.99169,3.63,1.49,11.1,0
10.51,1.453,0.844,5.24,0.046,20,230,0.99914,3.18,1.36,12.53,3
7.02,0.792,0.981,0.66,0.116,24,132,1.00231,3.1,0.62,11.46,4
8.15,1.056,0.793,12.48,0.065,65,198,0.99428,3.95,1.1,12.34,10
6.18,1.089,0.854,12.11,0.089,65,120,0.99359,3.91,1.52,11.81,0
14.9,1.443,0.242,2.01,0.082,1,267,1.0018,3.35,1.2,13.18,7
11.0,1.055,0.961,8.86,0.176,3,23,0.99085,3.82,0.97,12.94,1
8.81,1.021,0.197,7.23,0.182,46,15,0.99554,3.34,0.85,11.74,0
9.54,0.2,0.951,2.22,0.104,55,97,0.99759,3.31,1.34,12.75,1
15.37,0.878,0.995,14.72,0.073,64,144,0.99841,2.99,1.9,14.11,4
5.84,0.325,0.712,3.61,0.03,45,57,1.00093,3.31,1.44,11.03,8
11.03,1.206,0.981,1.47,0.191,26,200,0.99532,3.44,0.43,10.89,8
10.07,0.868,0.57,9.13,0.021,65,211,0.99919,2.83,1.08,13.35,1
11.34,1.12,0.26,11.21,0.067,24,292,0.99878,3.33,1.81,12.08,1
4.22,0.163,0.437,0.97,0.067,74,98,0.99821,3.74,0.46,8.5,2
14.47,0.227,0.594,10.05,0.071,35,150,0.99961,3.62,1.98,14.24,6
15.19,1.174,0.073,8.22,0.041,24,91,0.99389,3.56,1.91,8.22,10
10.78,0.208,0.622,2.0,0.159,28,158,0.99127,3.89,0.43,13.24,2
12.36,0.207,0.981,3.0,0.033,16,7,0.99179,2.82,1.89,13.31,0
15.07,0.118,0.19,8.74,0.131,59,265,0.99337,3.47,0.92,14.67,5
12.49,1.535,0.793,4.8,0.034,54,169,0.9975,3.74,1.74,8.38,2
5.83,1.206,0.908,14.11,0.023,16,11,1.00261,3.45,1.01,12.18,0
10.92,0.63,0.944,12.37,0.183,15,154,1.00052,3.19,1.05,10.99,3
11.28,0.545,0.96,14.76,0.046,11,210,1.00184,2.96,1.38,10.31,0
9.09,0.625,0.521,4.27,0.166,65,123,0.99526,3.87,1.62,8.63,0
12.84,1.262,0.977,14.56,0.113,68,94,0.99607,3.36,0.36,11.94,1
15.21,1.092,0.757,6.75,0.025,43,159,0.99591,3.85,1.31,11.35,9
15.11,0.378,0.162,5.54,0.192,69,172,0.99288,3.5,0.62,8.73,7
9.41,0.361,0.477,1.23,0.057,13,166,0.99092,3.61,0.89,12.29,1
5.36,0.248,0.718,1.27,0.173,10,275,0.99886,3.77,0.89,13.17,10
15.82,1.09,0.247,10.53,0.042,41,61,1.00484,3.59,1.1,13.37,1
14.07,1.247,0.641,7.14,0.172,50,233,0.9925,3.28,0.87,14.34,10
5.5,0.498,0.667,3.78,0.013,71,154,0.9907,3.42,0.48,10.87,10
15.05,0.131,0.163,9.4,0.107,59,51,1.00169,3.76,0.55,14.67,9
14.44,0.223,0.565,4.17,0.156,39,149,0.99379,3.25,0.36,14.06,9
10.23,1.552,0.772,8.88,0.188,3,243,1.00244,3.27,1.1,10.08,7
11.1,0.543,0.499,5.71,0.183,7,277,1.00056,2.91,1.92,9.11,5
8.79,1.254,0.012,12.44,0.166,49,125,1.00419,3.9,0.5,11.05,10
4.66,1.037,0.009,12.4,0.179,26,225,0.99613,2.91,1.91,10.81,3
8.02,0.673,0.357,7.42,0.048,33,13,0.99993,3.58,1.55,12.03,2
13.63,0.409,0.926,5.59,0.064,48,280,0.99697,3.3,1.38,12.08,0
4.06,0.282,0.229,5.76,0.065,2,71,0.99946,3.29,1.4,13.25,10
8.0,1.023,0.634,12.18,0.082,71,84,0.99674,3.62,1.71,11.57,2
8.78,1.262,0.222,5.26,0.085,32,91,0.99283,2.88,0.48,8.73,8
10.45,1.066,0.322,3.53,0.113,4,129,0.99762,3.51,1.16,14.01,4
15.04,0.895,0.848,1.73,0.04,20,207,0.99793,3.73,1.49,10.17,5
8.16,0.163,0.729,7.27,0.141,36,155,1.00216,3.79,1.3,14.8,4
8.16,1.553,0.095,7.49,0.042,32,51,1.00103,3.0,1.72,8.83,0
12.85,1.298,0.429,12.69,0.069,28,118,0.99996,3.88,0.42,14.71,9
9.43,0.539,0.029,3.71,0.106,1,96,0.9917,3.59,1.47,8.64,0
6.7,1.57,0.481,6.02,0.161,60,146,1.00081,3.86,1.21,9.62,3
9.43,1.003,0.662,12.22,0.15,56,294,0.9975,3.38,0.94,8.33,2
5.69,0.974,0.119,12.44,0.133,35,223,1.00341,3.45,0.88,12.94,10
6.12,1.222,0.289,6.08,0.04,30,82,1.0038,3.9,1.36,13.95,7
9.98,1.318,0.398,7.16,0.114,54,157,0.99083,3.88,1.81,11.04,6
9.03,1.085,0.92,4.9,0.027,36,244,1.00231,3.34,1.14,14.5,10
14.98,0.292,0.993,14.02,0.082,55,120,0.99057,3.13,1.7,12.13,6
8.35,0.607,0.045,2.22,0.089,58,99,0.99551,3.27,0.98,12.41,7
10.97,1.492,0.761,14.04,0.018,65,53,0.99813,3.27,0.47,13.92,9
11.59,0.437,0.372,10.42,0.062,69,196,0.99222,3.14,0.4,10.08,6
4.16,0.658,0.392,8.21,0.192,51,17,1.00119,3.12,0.39,10.48,9
11.96,0.748,0.754,0.97,0.191,22,161,0.99013,3.83,0.95,14.34,1
6.14,0.759,0.918,7.4,0.077,53,177,0.99253,2.88,0.87,14.31,3
15.53,1.019,0.951,6.41,0.018,36,182,0.99871,3.61,1.52,14.84,10
5.78,1.515,0.577,2.84,0.044,68,62,1.00072,3.01,1.56,14.31,5
8.98,0.461,0.357,10.02,0.085,36,208,1.00375,3.21,0.39,8.89,2
5.02,0.282,0.788,14.58,0.19,52,190,1.00058,2.87,0.68,13.77,2
15.96,0.396,0.251,8.65,0.037,53,126,1.00008,3.12,0.77,10.87,5
10.03,1.43,0.564,10.86,0.155,50,231,0.99592,3.72,1.23,14.94,0
11.14,1.069,0.359,1.49,0.031,41,207,0.99002,3.86,0.55,11.31,0
4.8,0.529,0.657,6.56,0.196,18,221,0.9918,3.07,0.53,11.88,4
13.0,1.324,0.24,2.19,0.083,22,48,0.99802,3.36,1.9,11.71,0
6.52,1.392,0.192,9.39,0.157,66,28,1.00013,3.36,1.67,10.25,9
14.78,1.37,0.918,14.11,0.075,21,160,0.99626,3.85,0.61,8.53,7
6.46,1.478,0.102,10.1,0.129,44,191,1.00096,3.72,0.99,14.27,1
6.29,0.478,0.506,1.61,0.046,47,254,0.99783,3.42,0.9,13.62,5
4.44,1.233,0.221,5.64,0.038,39,242,0.99111,3.6,1.64,8.98,9
9.66,0.791,0.039,8.48,0.188,29,298,0.99288,3.82,1.17,13.44,9
10.78,1.363,0.036,6.35,0.184,54,139,1.0026,2.81,0.52,12.38,4
4.79,1.193,0.175,12.59,0.179,17,27,1.00087,3.28,1.56,10.86,9
13.31,1.265,0.867,12.31,0.129,60,93,1.00342,3.89,0.97,9.78,3
9.44,1.084,0.282,9.37,0.164,31,158,0.99176,3.69,0.75,14.02,0
10.29,0.366,0.95,5.92,0.023,73,130,1.00485,3.45,0.94,12.9,2
9.29,0.918,0.582,4.2,0.074,49,84,0.99314,3.44,1.15,11.83,3
8.81,1.577,0.437,2.04,0.07,2,56,0.99018,3.22,0.88,12.27,1
10.72,1.506,0.58,5.65,0.131,48,221,1.00496,3.42,0.71,8.64,1
5.86,0.165,0.517,6.49,0.078,14,181,0.99422,3.59,0.98,11.32,1
6.18,0.347,0.759,10.3,0.038,59,258,1.00002,3.3,0.33,9.36,10
14.34,0.298,0.282,10.04,0.123,58,251,0.99265,3.66,1.61,9.46,0
15.35,1.189,0.353,1.52,0.165,58,232,0.9987,3.83,0.59,12.63,9
8.48,1.327,0.894,6.23,0.083,51,111,1.00356,2.99,0.37,14.38,1
7.25,0.42,0.946,3.14,0.035,2,198,0.9948,3.34,1.41,10.83,5
11.73,0.859,0.893,2.77,0.047,41,41,1.00005,3.29,1.62,9.45,2
8.9,1.361,0.419,12.5,0.055,16,209,0.99282,3.62,1.68,12.54,9
4.3,1.199,0.78,1.11,0.067,4,272,0.99937,3.1,1.14,14.1,4
5.87,0.913,0.476,6.58,0.132,12,273,0.99505,3.57,0.65,13.24,0
12.59,0.986,0.498,2.94,0.124,29,175,0.99317,3.85,1.55,14.08,7
11.91,0.863,0.205,13.25,0.142,7,44,0.9947,3.3,1.49,11.76,3
4.33,0.546,0.591,8.58,0.079,14,144,0.99268,3.89,0.72,13.26,8
6.66,0.948,0.186,3.86,0.167,12,297,1.00353,3.99,1.84,8.98,3
6.77,1.133,0.332,7.79,0.049,5,57,0.99596,2.93,0.48,10.44,1
12.06,1.41,0.855,11.11,0.099,32,292,0.99368,3.08,1.97,10.73,2
4.24,1.054,0.207,14.39,0.162,74,294,0.99673,3.94,1.76,11.58,4
5.25,1.242,0.071,3.7,0.044,43,146,0.99481,3.95,1.47,14.5,9
13.6,0.34,0.069,13.35,0.031,69,151,1.00117,2.92,1.9,14.12,5
6.14,0.792,0.941,14.05,0.178,45,189,1.00457,2.82,1.53,8.94,6
11.83,0.114,0.507,13.79,0.075,9,157,0.99657,2.99,0.62,9.21,3
6.86,0.47,0.409,9.71,0.14,49,206,1.00292,4.0,1.05,10.5,6
5.19,1.19,0.811,9.63,0.015,33,133,0.99849,3.02,0.42,10.04,9
6.92,1.588,0.836,6.35,0.141,18,292,0.99236,3.4,0.96,12.3,2
12.67,0.249,0.332,11.41,0.07,9,258,1.00036,3.82,1.56,14.32,6
14.27,0.702,0.694,8.2,0.021,62,271,0.9977,2.82,0.96,14.74,3
13.96,1.3,0.771,10.32,0.126,57,193,0.99976,3.53,0.86,12.58,7
8.77,0.406,0.655,6.71,0.056,29,235,1.00335,3.13,1.31,13.87,8
12.02,0.933,0.152,11.11,0.083,25,276,0.99661,3.83,1.78,11.68,6
6.46,1.2,0.876,12.45,0.025,15,264,1.00352,3.14,0.38,9.46,7
7.52,1.024,0.539,2.62,0.038,6,203,1.00126,3.62,0.96,11.67,7
14.76,0.382,0.282,12.58,0.067,42,61,0.99733,3.61,0.57,11.89,1
4.16,0.633,0.425,8.33,0.027,29,208,0.99905,3.07,1.48,13.2,8
5.03,1.276,0.038,12.75,0.183,4,276,0.99488,2.84,0.48,9.54,5
6.49,0.931,0.128,6.75,0.011,57,114,1.00475,3.29,1.43,10.58,10
4.32,0.108,0.766,6.0,0.102,49,121,1.00001,3.15,0.79,10.55,3
6.18,1.241,0.0,13.77,0.033,44,97,0.99066,3.77,0.64,14.72,4
11.0,0.153,0.417,4.14,0.068,14,143,0.9949,3.76,1.89,11.11,9
9.06,1.219,0.523,12.74,0.186,3,62,0.99935,3.35,0.33,13.29,4
14.71,0.404,0.055,7.52,0.041,62,55,0.99084,3.53,1.04,13.26,6
13.81,1.537,0.973,7.95,0.194,64,76,0.99036,3.53,0.34,9.86,8
8.1,0.652,0.226,4.97,0.049,45,87,0.99675,3.79,1.12,12.0,6
7.11,0.59,0.304,8.81,0.151,58,110,0.99499,3.31,1.15,14.26,8
8.56,0.323,0.304,5.22,0.114,20,93,0.99657,3.13,0.85,11.33,3
11.08,0.558,0.23,1.07,0.178,58,7,0.99394,3.12,0.52,14.62,9
7.22,1.415,0.001,4.44,0.115,57,89,0.99247,3.44,0.94,9.5,9
11.49,1.595,0.729,0.59,0.112,68,48,1.00034,3.34,1.44,8.52,3
8.91,0.652,0.967,14.69,0.047,52,159,0.99772,3.33,1.63,14.24,5
10.62,0.773,0.224,14.5,0.042,37,99,0.993,2.91,1.2,13.93,7
9.23,1.183,0.663,6.23,0.184,8,138,0.99479,3.66,1.3,14.95,8
7.53,1.429,0.742,11.06,0.072,44,70,0.99888,3.06,0.64,12.76,0
15.38,0.99,0.848,5.51,0.081,5,295,0.99108,3.04,0.79,14.56,0
13.16,0.687,0.423,10.23,0.154,69,262,0.99221,3.3,0.58,13.79,7
5.68,0.719,0.303,12.18,0.074,31,218,0.9911,3.07,0.72,13.91,10
14.42,1.143,0.325,14.23,0.191,45,153,1.00218,3.5,0.68,11.98,6
9.85,0.105,0.713,6.3,0.15,9,66,1.00129,3.25,1.18,10.68,8
14.73,1.029,0.817,11.86,0.124,32,154,1.0013,3.34,1.26,14.54,10
13.6,0.633,0.182,4.36,0.177,33,93,1.00074,3.44,1.91,11.02,2
9.1,1.291,0.371,14.86,0.019,67,283,1.00004,3.04,0.63,11.77,9
4.27,0.239,0.902,0.87,0.059,30,87,0.99715,2.99,1.39,11.12,4
7.22,0.982,0.807,9.25,0.098,29,134,0.99963,3.86,1.69,11.95,2
10.5,0.821,0.985,10.06,0.053,3,291,0.99058,3.32,1.25,11.29,4
11.6,1.063,0.754,10.48,0.151,57,285,0.99932,3.29,0.73,8.34,9
7.09,0.197,0.393,2.25,0.185,30,275,1.00167,2.84,0.75,14.17,0
5.67,0.97,0.591,14.11,0.091,9,297,0.99751,3.4,0.37,11.11,10
14.02,0.942,0.661,3.13,0.075,26,208,0.99536,3.47,0.82,12.12,3
15.81,0.941,0.078,9.53,0.193,2,29,0.99416,3.47,1.57,8.97,5
10.31,1.005,0.544,3.73,0.095,62,213,0.99964,3.65,0.38,8.02,1
6.06,1.115,0.709,4.95,0.103,3,285,1.00039,3.01,0.67,9.72,6
7.27,1.307,0.167,8.42,0.077,46,210,1.00306,3.1,1.5,12.93,7
4.22,0.505,0.781,6.55,0.183,68,157,0.99514,3.77,1.63,8.69,0
14.97,1.338,0.584,2.82,0.118,25,31,1.00155,3.94,1.07,14.36,3
5.41,0.847,0.952,2.98,0.155,51,199,0.99842,2.96,1.49,9.51,10
10.92,0.216,0.042,6.56,0.164,13,243,1.00324,3.4,0.96,9.43,3
7.29,0.188,0.265,11.48,0.075,44,80,0.99792,3.06,0.57,9.27,4
10.65,0.601,0.602,13.52,0.092,35,168,0.99776,2.87,0.98,8.1,3
11.82,1.277,0.297,1.72,0.171,55,34,0.99867,3.19,1.29,13.4,8
13.96,1.162,0.714,6.2,0.079,9,170,1.00124,2.97,1.91,14.13,6
6.48,1.283,0.759,1.95,0.161,2,191,1.00447,3.65,0.42,12.3,1
4.13,0.876,0.103,0.74,0.189,61,59,0.9911,3.44,1.16,9.32,0
5.64,0.76,0.514,10.09,0.128,41,47,0.9908,2.97,0.86,10.0,8
14.8,0.321,0.509,9.24,0.151,44,290,1.00406,2.81,1.16,11.33,0
14.49,0.592,0.369,2.86,0.163,64,143,0.99795,3.77,0.34,14.68,5
11.17,0.751,0.933,3.89,0.171,31,192,0.99922,3.01,0.83,9.73,1
11.21,0.233,0.828,0.84,0.085,47,209,0.99724,3.53,1.69,13.12,3
11.98,0.431,0.697,12.61,0.02,2,47,0.9914,3.2,1.24,11.08,5
6.1,0.997,0.714,14.63,0.086,69,293,1.00152,3.5,1.07,10.08,4
14.97,1.203,0.462,2.46,0.138,58,31,1.00121,3.18,0.79,11.19,10
9.03,1.598,0.921,3.86,0.096,44,61,0.99468,2.9,0.81,8.5,5
8.6,1.5,0.695,13.09,0.152,74,258,0.99459,3.07,0.95,13.59,2
10.23,1.064,0.729,13.93,0.078,56,127,1.00257,3.03,1.72,9.7,4
4.56,0.732,0.862,6.58,0.131,43,111,0.99109,3.31,1.94,13.08,1
6.0,1.054,0.274,1.23,0.045,34,135,1.00322,3.59,1.05,8.48,6
12.86,1.278,0.807,1.07,0.152,30,163,0.99385,3.12,0.97,14.69,2
4.99,0.278,0.195,8.82,0.114,71,236,0.99889,2.81,1.74,9.35,0
11.24,0.715,0.345,6.2,0.049,70,96,1.00404,3.42,1.03,14.18,7
6.94,1.36,0.336,0.92,0.065,55,27,1.00017,3.53,1.24,13.67,7
8.67,0.676,0.979,8.96,0.152,67,295,0.99622,3.96,0.69,14.78,2
7.46,0.958,0.857,0.66,0.102,13,115,1.00034,3.51,1.56,11.35,6
8.27,0.982,0.701,11.92,0.051,3,54,0.99516,3.37,1.2,13.09,8
12.63,0.377,0.727,4.94,0.194,26,134,0.99416,3.49,1.68,10.59,7
7.57,0.643,0.562,1.08,0.146,57,78,1.00495,3.91,1.63,9.29,2
10.8,0.602,0.947,9.03,0.192,24,58,1.00126,3.79,0.67,11.1,1
9.71,0.139,0.496,6.27,0.091,53,173,0.99967,3.19,1.52,9.16,9
