Airline,Date_Of_Journey,Flight,Source_City,Destination,Route,Departure_Time,Arrivala_Time,Total_Stops,Class,Duration,Days_Left,Price
IndiGo,2025-05-01,6E9425,Bangalore,Kolkata,Bangalore -> Kolkata,2025-05-01 23:50:00,2025-05-02 05:21:00,1 Stop,Business,5h 31m,29,21636
Akasa Air,2025-01-22,QP3217,Mumbai,Chennai,Mumbai -> Chennai,2025-01-22 22:15:00,2025-01-23 05:11:00,1 Stop,Business,6h 56m,11,17420
Vistara,2025-05-27,UK7508,Mumbai,Bangalore,Mumbai -> Bangalore,2025-05-27 13:00:00,2025-05-27 16:24:00,Non-stop,Economy,3h 24m,48,7772
SpiceJet,2025-06-11,SG328,Kolkata,Mumbai,Kolkata -> Mumbai,2025-06-11 05:10:00,2025-06-11 06:35:00,Non-stop,Business,1h 25m,10,11181
SpiceJet,2025-03-08,SG3340,Delhi,Hyderabad,Delhi -> Hyderabad,2025-03-08 09:50:00,2025-03-08 18:04:00,2+ Stops,Economy,8h 14m,26,11970
Akasa Air,2025-04-06,QP8277,Kolkata,Hyderabad,Kolkata -> Hyderabad,2025-04-06 15:45:00,2025-04-06 18:51:00,Non-stop,Economy,3h 6m,55,5148
Akasa Air,2025-03-12,QP7910,Hyderabad,Bangalore,Hyderabad -> Bangalore,2025-03-12 16:20:00,2025-03-12 20:51:00,Non-stop,Economy,4h 31m,10,5023
Akasa Air,2025-07-22,QP2698,Bangalore,Kolkata,Bangalore -> Kolkata,2025-07-22 13:30:00,2025-07-22 16:03:00,Non-stop,Business,2h 33m,44,21176
SpiceJet,2025-02-17,SG2199,Bangalore,Chennai,Bangalore -> Chennai,2025-02-17 00:20:00,2025-02-17 06:35:00,1 Stop,Economy,6h 15m,31,7581
Air India,2025-05-03,AI5220,Chennai,Kolkata,Chennai -> Kolkata,2025-05-03 17:15:00,2025-05-04 05:36:00,2+ Stops,Economy,12h 21m,51,9359
Akasa Air,2025-04-11,QP9476,Mumbai,Chennai,Mumbai -> Chennai,2025-04-11 07:20:00,2025-04-11 17:16:00,2+ Stops,Economy,9h 56m,40,10159
IndiGo,2025-02-11,6E6393,Mumbai,Chennai,Mumbai -> Chennai,2025-02-11 16:20:00,2025-02-12 00:17:00,1 Stop,Business,7h 57m,21,10941
Air India,2025-02-09,AI4625,Chennai,Mumbai,Chennai -> Mumbai,2025-02-09 15:10:00,2025-02-09 16:30:00,Non-stop,Business,1h 20m,24,24252
Go First,2025-04-23,G82494,Bangalore,Kolkata,Bangalore -> Kolkata,2025-04-23 19:30:00,2025-04-23 22:29:00,Non-stop,Economy,2h 59m,32,4921
Akasa Air,2025-06-13,QP1092,Chennai,Mumbai,Chennai -> Mumbai,2025-06-13 09:10:00,2025-06-13 15:54:00,1 Stop,Economy,6h 44m,34,6476
Air India,2025-06-18,AI2460,Bangalore,Delhi,Bangalore -> Delhi,2025-06-18 20:50:00,2025-06-19 00:13:00,1 Stop,Business,3h 23m,2,14908
Vistara,2025-04-20,UK9197,Mumbai,Chennai,Mumbai -> Chennai,2025-04-20 03:15:00,2025-04-20 08:27:00,1 Stop,Business,5h 12m,29,13865
Air India,2025-03-29,AI5388,Delhi,Mumbai,Delhi -> Mumbai,2025-03-29 17:20:00,2025-03-29 21:40:00,1 Stop,Business,4h 20m,4,17799
Vistara,2025-06-27,UK5406,Kolkata,Mumbai,Kolkata -> Mumbai,2025-06-27 01:45:00,2025-06-27 07:21:00,1 Stop,Economy,5h 36m,21,9805
Akasa Air,2025-03-19,QP2260,Kolkata,Delhi,Kolkata -> Delhi,2025-03-19 04:10:00,2025-03-19 06:55:00,Non-stop,Economy,2h 45m,60,3252
SpiceJet,2025-04-25,SG5950,Bangalore,Delhi,Bangalore -> Delhi,2025-04-25 02:20:00,2025-04-25 09:23:00,1 Stop,Business,7h 3m,27,25693
Air India,2025-03-11,AI9080,Delhi,Bangalore,Delhi -> Bangalore,2025-03-11 03:50:00,2025-03-11 08:05:00,1 Stop,Economy,4h 15m,29,11680
Go First,2025-02-11,G8496,Delhi,Bangalore,Delhi -> Bangalore,2025-02-11 01:10:00,2025-02-11 04:05:00,Non-stop,Economy,2h 55m,31,6600
SpiceJet,2025-05-13,SG5391,Kolkata,Hyderabad,Kolkata -> Hyderabad,2025-05-13 09:20:00,2025-05-13 13:55:00,Non-stop,Economy,4h 35m,2,2828
Air India,2025-06-14,AI9761,Delhi,Bangalore,Delhi -> Bangalore,2025-06-14 15:00:00,2025-06-14 23:05:00,1 Stop,Business,8h 5m,15,16653
Air India,2025-08-08,AI2594,Hyderabad,Delhi,Hyderabad -> Delhi,2025-08-08 23:30:00,2025-08-09 05:05:00,1 Stop,Business,5h 35m,59,22882
Air India,2025-03-29,AI4298,Bangalore,Mumbai,Bangalore -> Mumbai,2025-03-29 12:00:00,2025-03-29 20:28:00,2+ Stops,Economy,8h 28m,21,13120
Akasa Air,2025-02-10,QP8485,Kolkata,Mumbai,Kolkata -> Mumbai,2025-02-10 01:20:00,2025-02-10 03:32:00,Non-stop,Business,2h 12m,12,17020
SpiceJet,2025-07-22,SG6013,Kolkata,Delhi,Kolkata -> Delhi,2025-07-22 07:30:00,2025-07-22 12:02:00,1 Stop,Economy,4h 32m,42,6063
Air India,2025-05-12,AI3064,Bangalore,Mumbai,Bangalore -> Mumbai,2025-05-12 23:15:00,2025-05-13 05:53:00,1 Stop,Economy,6h 38m,32,10010
Go First,2025-06-12,G89876,Bangalore,Mumbai,Bangalore -> Mumbai,2025-06-12 03:00:00,2025-06-12 04:54:00,Non-stop,Economy,1h 54m,5,4746
IndiGo,2025-07-12,6E5071,Kolkata,Hyderabad,Kolkata -> Hyderabad,2025-07-12 05:00:00,2025-07-12 08:13:00,Non-stop,Economy,3h 13m,47,5966
Akasa Air,2025-07-14,QP6208,Delhi,Kolkata,Delhi -> Kolkata,2025-07-14 00:15:00,2025-07-14 01:34:00,Non-stop,Economy,1h 19m,27,4652
Vistara,2025-06-28,UK3453,Delhi,Mumbai,Delhi -> Mumbai,2025-06-28 05:00:00,2025-06-28 06:46:00,Non-stop,Economy,1h 46m,57,8229
Go First,2025-07-01,G89233,Bangalore,Kolkata,Bangalore -> Kolkata,2025-07-01 18:20:00,2025-07-01 20:33:00,Non-stop,Economy,2h 13m,2,5756
Akasa Air,2025-05-23,QP6283,Delhi,Mumbai,Delhi -> Mumbai,2025-05-23 14:20:00,2025-05-23 15:56:00,Non-stop,Economy,1h 36m,32,7878
IndiGo,2025-06-19,6E4701,Chennai,Bangalore,Chennai -> Bangalore,2025-06-19 06:50:00,2025-06-19 10:32:00,1 Stop,Business,3h 42m,47,10492
Vistara,2025-07-20,UK131,Chennai,Delhi,Chennai -> Delhi,2025-07-20 13:30:00,2025-07-20 23:20:00,2+ Stops,Economy,9h 50m,56,9060
SpiceJet,2025-05-31,SG1548,Hyderabad,Bangalore,Hyderabad -> Bangalore,2025-05-31 17:10:00,2025-06-01 02:07:00,1 Stop,Business,8h 57m,30,29350
SpiceJet,2025-05-21,SG5781,Kolkata,Mumbai,Kolkata -> Mumbai,2025-05-21 11:20:00,2025-05-21 16:29:00,1 Stop,Business,5h 9m,38,22563
Vistara,2025-04-03,UK1516,Hyderabad,Bangalore,Hyderabad -> Bangalore,2025-04-03 10:15:00,2025-04-03 19:43:00,2+ Stops,Economy,9h 28m,57,9256
Go First,2025-07-16,G82476,Hyderabad,Bangalore,Hyderabad -> Bangalore,2025-07-16 23:10:00,2025-07-17 07:02:00,2+ Stops,Economy,7h 52m,35,9080
Vistara,2025-05-17,UK1933,Hyderabad,Chennai,Hyderabad -> Chennai,2025-05-17 03:30:00,2025-05-17 07:29:00,Non-stop,Economy,3h 59m,3,6357
Akasa Air,2025-04-27,QP5586,Kolkata,Delhi,Kolkata -> Delhi,2025-04-27 17:20:00,2025-04-28 05:12:00,2+ Stops,Business,11h 52m,21,21614
Akasa Air,2025-06-28,QP6784,Chennai,Delhi,Chennai -> Delhi,2025-06-28 20:20:00,2025-06-28 23:05:00,Non-stop,Economy,2h 45m,15,6632
IndiGo,2025-05-04,6E8213,Mumbai,Delhi,Mumbai -> Delhi,2025-05-04 07:50:00,2025-05-04 13:42:00,1 Stop,Economy,5h 52m,45,9246
IndiGo,2025-03-19,6E3229,Delhi,Mumbai,Delhi -> Mumbai,2025-03-19 03:10:00,2025-03-19 04:14:00,Non-stop,Business,1h 4m,2,12414
Vistara,2025-06-29,UK5957,Chennai,Kolkata,Chennai -> Kolkata,2025-06-29 19:15:00,2025-06-30 01:38:00,1 Stop,Economy,6h 23m,1,8865
Go First,2025-02-18,G89761,Kolkata,Chennai,Kolkata -> Chennai,2025-02-18 21:20:00,2025-02-19 01:40:00,Non-stop,Business,4h 20m,38,8262
Akasa Air,2025-03-17,QP7859,Kolkata,Chennai,Kolkata -> Chennai,2025-03-17 13:45:00,2025-03-18 00:41:00,2+ Stops,Business,10h 56m,50,17588
IndiGo,2025-06-06,6E8086,Delhi,Hyderabad,Delhi -> Hyderabad,2025-06-06 02:00:00,2025-06-06 03:29:00,Non-stop,Business,1h 29m,17,10526
Go First,2025-06-11,G87788,Delhi,Kolkata,Delhi -> Kolkata,2025-06-11 22:50:00,2025-06-12 03:29:00,1 Stop,Business,4h 39m,20,8954
Air India,2025-07-09,AI9822,Chennai,Delhi,Chennai -> Delhi,2025-07-09 14:00:00,2025-07-09 21:29:00,2+ Stops,Business,7h 29m,60,28078
Akasa Air,2025-07-06,QP898,Bangalore,Chennai,Bangalore -> Chennai,2025-07-06 16:20:00,2025-07-06 20:38:00,Non-stop,Economy,4h 18m,8,2826
SpiceJet,2025-07-03,SG9948,Bangalore,Hyderabad,Bangalore -> Hyderabad,2025-07-03 04:50:00,2025-07-03 07:20:00,Non-stop,Business,2h 30m,8,9080
Vistara,2025-03-08,UK2993,Kolkata,Delhi,Kolkata -> Delhi,2025-03-08 07:15:00,2025-03-08 18:09:00,2+ Stops,Business,10h 54m,20,24313
Akasa Air,2025-02-12,QP2002,Delhi,Bangalore,Delhi -> Bangalore,2025-02-12 23:30:00,2025-02-13 05:58:00,2+ Stops,Business,6h 28m,9,26773
IndiGo,2025-06-30,6E8704,Chennai,Bangalore,Chennai -> Bangalore,2025-06-30 03:20:00,2025-06-30 06:37:00,1 Stop,Business,3h 17m,41,30124
IndiGo,2025-08-16,6E1167,Delhi,Kolkata,Delhi -> Kolkata,2025-08-16 11:20:00,2025-08-16 19:18:00,1 Stop,Economy,7h 58m,57,4873
IndiGo,2025-07-02,6E2754,Delhi,Chennai,Delhi -> Chennai,2025-07-02 06:20:00,2025-07-02 16:43:00,2+ Stops,Business,10h 23m,12,18516
Air India,2025-02-16,AI9637,Kolkata,Delhi,Kolkata -> Delhi,2025-02-16 07:10:00,2025-02-16 10:18:00,Non-stop,Business,3h 8m,36,9273
IndiGo,2025-07-24,6E8459,Delhi,Mumbai,Delhi -> Mumbai,2025-07-24 08:30:00,2025-07-24 14:49:00,2+ Stops,Economy,6h 19m,34,9115
Vistara,2025-06-03,UK3598,Mumbai,Hyderabad,Mumbai -> Hyderabad,2025-06-03 06:00:00,2025-06-03 10:35:00,Non-stop,Economy,4h 35m,31,5696
Akasa Air,2025-03-15,QP2180,Hyderabad,Mumbai,Hyderabad -> Mumbai,2025-03-15 15:30:00,2025-03-15 17:45:00,Non-stop,Business,2h 15m,56,22875
Air India,2025-06-09,AI4400,Kolkata,Delhi,Kolkata -> Delhi,2025-06-09 01:50:00,2025-06-09 07:51:00,1 Stop,Economy,6h 1m,49,8861
Vistara,2025-07-08,UK3781,Chennai,Mumbai,Chennai -> Mumbai,2025-07-08 16:20:00,2025-07-09 05:08:00,2+ Stops,Economy,12h 48m,31,11930
Go First,2025-07-01,G84812,Kolkata,Delhi,Kolkata -> Delhi,2025-07-01 00:20:00,2025-07-01 02:05:00,Non-stop,Economy,1h 45m,28,7754
IndiGo,2025-05-17,6E6154,Bangalore,Hyderabad,Bangalore -> Hyderabad,2025-05-17 20:50:00,2025-05-18 02:43:00,1 Stop,Business,5h 53m,18,17119
Vistara,2025-07-08,UK6425,Chennai,Hyderabad,Chennai -> Hyderabad,2025-07-08 21:30:00,2025-07-09 09:20:00,2+ Stops,Economy,11h 50m,45,12724
IndiGo,2025-07-11,6E8122,Bangalore,Chennai,Bangalore -> Chennai,2025-07-11 20:00:00,2025-07-12 04:17:00,1 Stop,Business,8h 17m,34,21519
Air India,2025-03-27,AI5229,Bangalore,Mumbai,Bangalore -> Mumbai,2025-03-27 11:15:00,2025-03-27 14:48:00,Non-stop,Business,3h 33m,37,15843
Go First,2025-07-26,G87044,Chennai,Mumbai,Chennai -> Mumbai,2025-07-26 04:50:00,2025-07-26 13:02:00,2+ Stops,Business,8h 12m,50,32099
Air India,2025-02-12,AI7680,Hyderabad,Chennai,Hyderabad -> Chennai,2025-02-12 23:45:00,2025-02-13 08:00:00,1 Stop,Economy,8h 15m,12,11516
Akasa Air,2025-03-28,QP5627,Mumbai,Hyderabad,Mumbai -> Hyderabad,2025-03-28 12:20:00,2025-03-28 21:19:00,2+ Stops,Business,8h 59m,24,24305
SpiceJet,2025-06-15,SG1280,Bangalore,Delhi,Bangalore -> Delhi,2025-06-15 12:00:00,2025-06-15 14:51:00,Non-stop,Business,2h 51m,25,19665
Go First,2025-05-25,G89661,Bangalore,Chennai,Bangalore -> Chennai,2025-05-25 06:15:00,2025-05-25 10:55:00,Non-stop,Business,4h 40m,37,14752
Vistara,2025-02-13,UK7262,Kolkata,Bangalore,Kolkata -> Bangalore,2025-02-13 05:00:00,2025-02-13 08:02:00,1 Stop,Economy,3h 2m,8,7992
Go First,2025-03-17,G88869,Bangalore,Mumbai,Bangalore -> Mumbai,2025-03-17 23:45:00,2025-03-18 03:47:00,1 Stop,Economy,4h 2m,51,3808
SpiceJet,2025-03-17,SG4641,Bangalore,Hyderabad,Bangalore -> Hyderabad,2025-03-17 07:30:00,2025-03-17 18:18:00,2+ Stops,Business,10h 48m,16,25049
Air India,2025-03-19,AI476,Hyderabad,Chennai,Hyderabad -> Chennai,2025-03-19 05:50:00,2025-03-19 10:24:00,1 Stop,Economy,4h 34m,21,6499
Go First,2025-03-12,G84519,Kolkata,Delhi,Kolkata -> Delhi,2025-03-12 13:10:00,2025-03-12 17:49:00,Non-stop,Economy,4h 39m,7,3921
Air India,2025-07-07,AI4678,Delhi,Mumbai,Delhi -> Mumbai,2025-07-07 09:20:00,2025-07-07 21:58:00,2+ Stops,Business,12h 38m,16,17759
IndiGo,2025-03-09,6E1443,Kolkata,Hyderabad,Kolkata -> Hyderabad,2025-03-09 23:20:00,2025-03-10 11:44:00,2+ Stops,Economy,12h 24m,29,11046
Air India,2025-04-15,AI8153,Kolkata,Chennai,Kolkata -> Chennai,2025-04-15 00:20:00,2025-04-15 10:44:00,2+ Stops,Business,10h 24m,22,20963
Air India,2025-04-25,AI1367,Hyderabad,Kolkata,Hyderabad -> Kolkata,2025-04-25 06:10:00,2025-04-25 11:35:00,1 Stop,Business,5h 25m,11,21243
Air India,2025-06-27,AI6316,Hyderabad,Kolkata,Hyderabad -> Kolkata,2025-06-27 18:10:00,2025-06-28 05:14:00,2+ Stops,Business,11h 4m,2,14878
SpiceJet,2025-05-24,SG5990,Kolkata,Delhi,Kolkata -> Delhi,2025-05-24 23:20:00,2025-05-25 02:47:00,1 Stop,Business,3h 27m,32,12255
SpiceJet,2025-03-09,SG4357,Kolkata,Mumbai,Kolkata -> Mumbai,2025-03-09 18:45:00,2025-03-10 05:18:00,2+ Stops,Economy,10h 33m,11,7359
SpiceJet,2025-03-28,SG886,Mumbai,Delhi,Mumbai -> Delhi,2025-03-28 02:30:00,2025-03-28 12:33:00,2+ Stops,Business,10h 3m,46,16641
Vistara,2025-06-16,UK2541,Bangalore,Mumbai,Bangalore -> Mumbai,2025-06-16 08:50:00,2025-06-16 11:16:00,Non-stop,Business,2h 26m,55,17460
IndiGo,2025-05-31,6E3898,Delhi,Chennai,Delhi -> Chennai,2025-05-31 20:50:00,2025-06-01 04:08:00,2+ Stops,Business,7h 18m,4,15901
IndiGo,2025-01-31,6E3301,Hyderabad,Delhi,Hyderabad -> Delhi,2025-01-31 08:50:00,2025-01-31 10:39:00,Non-stop,Business,1h 49m,5,21099
Akasa Air,2025-04-18,QP3031,Mumbai,Chennai,Mumbai -> Chennai,2025-04-18 07:50:00,2025-04-18 11:44:00,Non-stop,Economy,3h 54m,60,4730
Go First,2025-03-14,G8439,Hyderabad,Chennai,Hyderabad -> Chennai,2025-03-14 12:10:00,2025-03-14 13:40:00,Non-stop,Economy,1h 30m,58,3583
Air India,2025-04-03,AI6116,Hyderabad,Bangalore,Hyderabad -> Bangalore,2025-04-03 14:10:00,2025-04-03 20:55:00,2+ Stops,Economy,6h 45m,30,10948
Go First,2025-01-10,G8792,Delhi,Hyderabad,Delhi -> Hyderabad,2025-01-10 09:20:00,2025-01-10 21:51:00,2+ Stops,Business,12h 31m,9,34006
Vistara,2025-06-28,UK8702,Kolkata,Chennai,Kolkata -> Chennai,2025-06-28 18:45:00,2025-06-29 04:33:00,2+ Stops,Business,9h 48m,23,26047
Go First,2025-02-02,G88287,Mumbai,Delhi,Mumbai -> Delhi,2025-02-02 19:15:00,2025-02-02 22:53:00,1 Stop,Business,3h 38m,14,18515
SpiceJet,2025-01-18,SG491,Bangalore,Hyderabad,Bangalore -> Hyderabad,2025-01-18 06:20:00,2025-01-18 18:29:00,2+ Stops,Business,12h 9m,13,32916
Akasa Air,2025-01-15,QP5047,Kolkata,Mumbai,Kolkata -> Mumbai,2025-01-15 07:20:00,2025-01-15 13:45:00,1 Stop,Business,6h 25m,10,21737
Air India,2025-03-08,AI7690,Mumbai,Hyderabad,Mumbai -> Hyderabad,2025-03-08 04:45:00,2025-03-08 08:08:00,Non-stop,Economy,3h 23m,4,6871
Vistara,2025-06-08,UK6433,Chennai,Kolkata,Chennai -> Kolkata,2025-06-08 09:15:00,2025-06-08 19:45:00,2+ Stops,Economy,10h 30m,5,11704
SpiceJet,2025-07-09,SG5530,Mumbai,Kolkata,Mumbai -> Kolkata,2025-07-09 05:00:00,2025-07-09 07:47:00,Non-stop,Business,2h 47m,60,5980
Go First,2025-01-31,G83683,Chennai,Hyderabad,Chennai -> Hyderabad,2025-01-31 14:20:00,2025-01-31 21:49:00,1 Stop,Business,7h 29m,24,24362
SpiceJet,2025-05-01,SG934,Hyderabad,Chennai,Hyderabad -> Chennai,2025-05-01 15:20:00,2025-05-01 22:02:00,2+ Stops,Economy,6h 42m,8,8303
SpiceJet,2025-02-16,SG7306,Chennai,Bangalore,Chennai -> Bangalore,2025-02-16 06:00:00,2025-02-16 15:17:00,2+ Stops,Business,9h 17m,10,11788
SpiceJet,2025-06-22,SG298,Mumbai,Bangalore,Mumbai -> Bangalore,2025-06-22 06:20:00,2025-06-22 10:55:00,Non-stop,Business,4h 35m,27,8450
IndiGo,2025-06-20,6E2777,Delhi,Kolkata,Delhi -> Kolkata,2025-06-20 02:10:00,2025-06-20 07:09:00,1 Stop,Business,4h 59m,47,9240
Vistara,2025-06-25,UK5715,Hyderabad,Bangalore,Hyderabad -> Bangalore,2025-06-25 08:30:00,2025-06-25 19:26:00,2+ Stops,Business,10h 56m,55,37029
Go First,2025-07-28,G82649,Chennai,Hyderabad,Chennai -> Hyderabad,2025-07-28 08:50:00,2025-07-28 21:47:00,2+ Stops,Economy,12h 57m,34,7444
Vistara,2025-04-20,UK8019,Bangalore,Kolkata,Bangalore -> Kolkata,2025-04-20 15:45:00,2025-04-20 19:22:00,1 Stop,Business,3h 37m,33,13907
Air India,2025-05-01,AI9193,Mumbai,Bangalore,Mumbai -> Bangalore,2025-05-01 14:10:00,2025-05-01 17:36:00,Non-stop,Business,3h 26m,57,25236
SpiceJet,2025-06-20,SG5000,Delhi,Bangalore,Delhi -> Bangalore,2025-06-20 15:45:00,2025-06-20 19:44:00,Non-stop,Economy,3h 59m,11,6068
Vistara,2025-02-08,UK7180,Mumbai,Hyderabad,Mumbai -> Hyderabad,2025-02-08 10:15:00,2025-02-08 13:30:00,Non-stop,Business,3h 15m,31,21587
Go First,2025-04-26,G83606,Kolkata,Hyderabad,Kolkata -> Hyderabad,2025-04-26 09:10:00,2025-04-26 21:20:00,2+ Stops,Business,12h 10m,55,19555
Go First,2025-01-28,G86274,Delhi,Mumbai,Delhi -> Mumbai,2025-01-28 23:00:00,2025-01-29 03:31:00,Non-stop,Economy,4h 31m,6,7808
Air India,2025-01-21,AI941,Delhi,Hyderabad,Delhi -> Hyderabad,2025-01-21 04:15:00,2025-01-21 12:58:00,1 Stop,Business,8h 43m,12,34503
IndiGo,2025-01-17,6E2806,Bangalore,Kolkata,Bangalore -> Kolkata,2025-01-17 18:00:00,2025-01-17 19:52:00,Non-stop,Economy,1h 52m,7,3892
Vistara,2025-04-23,UK8134,Delhi,Kolkata,Delhi -> Kolkata,2025-04-23 19:50:00,2025-04-24 02:43:00,2+ Stops,Business,6h 53m,38,14163
Go First,2025-05-15,G84359,Mumbai,Chennai,Mumbai -> Chennai,2025-05-15 19:10:00,2025-05-16 03:12:00,2+ Stops,Business,8h 2m,7,24762
Akasa Air,2025-04-22,QP7844,Kolkata,Bangalore,Kolkata -> Bangalore,2025-04-22 09:45:00,2025-04-22 22:10:00,2+ Stops,Business,12h 25m,33,19006
SpiceJet,2025-07-10,SG3549,Mumbai,Hyderabad,Mumbai -> Hyderabad,2025-07-10 04:00:00,2025-07-10 05:37:00,Non-stop,Economy,1h 37m,10,3709
IndiGo,2025-03-07,6E7455,Mumbai,Bangalore,Mumbai -> Bangalore,2025-03-07 09:50:00,2025-03-07 18:10:00,1 Stop,Economy,8h 20m,47,8336
Vistara,2025-07-17,UK2108,Chennai,Hyderabad,Chennai -> Hyderabad,2025-07-17 09:45:00,2025-07-17 14:26:00,Non-stop,Economy,4h 41m,47,7483
Air India,2025-01-18,AI6502,Mumbai,Kolkata,Mumbai -> Kolkata,2025-01-18 01:50:00,2025-01-18 08:01:00,1 Stop,Business,6h 11m,5,29667
Vistara,2025-05-17,UK5401,Kolkata,Mumbai,Kolkata -> Mumbai,2025-05-17 23:45:00,2025-05-18 08:05:00,1 Stop,Economy,8h 20m,53,7340
Air India,2025-04-28,AI4205,Kolkata,Delhi,Kolkata -> Delhi,2025-04-28 04:00:00,2025-04-28 06:32:00,Non-stop,Business,2h 32m,32,11052
Akasa Air,2025-02-22,QP3057,Kolkata,Delhi,Kolkata -> Delhi,2025-02-22 20:15:00,2025-02-23 05:06:00,2+ Stops,Business,8h 51m,50,13952
Vistara,2025-04-06,UK8309,Mumbai,Bangalore,Mumbai -> Bangalore,2025-04-06 21:45:00,2025-04-07 09:17:00,2+ Stops,Business,11h 32m,10,27709
Go First,2025-07-01,G83322,Kolkata,Delhi,Kolkata -> Delhi,2025-07-01 17:15:00,2025-07-02 05:44:00,2+ Stops,Economy,12h 29m,30,9192
IndiGo,2025-05-18,6E6773,Hyderabad,Delhi,Hyderabad -> Delhi,2025-05-18 14:30:00,2025-05-18 22:29:00,2+ Stops,Business,7h 59m,31,19520
SpiceJet,2025-04-22,SG5019,Chennai,Delhi,Chennai -> Delhi,2025-04-22 21:30:00,2025-04-23 03:46:00,1 Stop,Economy,6h 16m,53,8316
IndiGo,2025-01-27,6E3733,Kolkata,Mumbai,Kolkata -> Mumbai,2025-01-27 13:00:00,2025-01-27 16:34:00,Non-stop,Business,3h 34m,26,10532
Akasa Air,2025-06-30,QP5116,Hyderabad,Delhi,Hyderabad -> Delhi,2025-06-30 06:30:00,2025-06-30 16:48:00,2+ Stops,Economy,10h 18m,32,9016
Go First,2025-04-04,G85483,Mumbai,Chennai,Mumbai -> Chennai,2025-04-04 00:45:00,2025-04-04 04:06:00,1 Stop,Economy,3h 21m,42,7473
IndiGo,2025-06-29,6E2227,Chennai,Bangalore,Chennai -> Bangalore,2025-06-29 09:45:00,2025-06-29 15:55:00,1 Stop,Business,6h 10m,11,18019
SpiceJet,2025-08-01,SG1699,Bangalore,Kolkata,Bangalore -> Kolkata,2025-08-01 17:45:00,2025-08-01 18:54:00,Non-stop,Economy,1h 9m,35,2527
Air India,2025-05-04,AI1181,Bangalore,Mumbai,Bangalore -> Mumbai,2025-05-04 10:00:00,2025-05-04 22:53:00,2+ Stops,Business,12h 53m,8,19839
Akasa Air,2025-03-16,QP4659,Delhi,Kolkata,Delhi -> Kolkata,2025-03-16 11:10:00,2025-03-16 15:44:00,1 Stop,Business,4h 34m,51,13243
IndiGo,2025-03-05,6E1139,Mumbai,Bangalore,Mumbai -> Bangalore,2025-03-05 16:50:00,2025-03-06 03:02:00,2+ Stops,Business,10h 12m,22,26141
SpiceJet,2025-07-03,SG6477,Kolkata,Delhi,Kolkata -> Delhi,2025-07-03 12:10:00,2025-07-03 14:49:00,Non-stop,Business,2h 39m,52,29212
Akasa Air,2025-08-11,QP1196,Chennai,Mumbai,Chennai -> Mumbai,2025-08-11 15:30:00,2025-08-11 21:50:00,1 Stop,Business,6h 20m,54,9336
Vistara,2025-01-28,UK3181,Delhi,Chennai,Delhi -> Chennai,2025-01-28 21:15:00,2025-01-29 05:41:00,2+ Stops,Economy,8h 26m,23,11979
IndiGo,2025-06-27,6E2296,Delhi,Chennai,Delhi -> Chennai,2025-06-27 03:30:00,2025-06-27 08:01:00,Non-stop,Business,4h 31m,34,13924
IndiGo,2025-05-24,6E5294,Mumbai,Kolkata,Mumbai -> Kolkata,2025-05-24 09:00:00,2025-05-24 10:19:00,Non-stop,Economy,1h 19m,35,4615
Vistara,2025-06-10,UK2607,Bangalore,Kolkata,Bangalore -> Kolkata,2025-06-10 02:30:00,2025-06-10 06:01:00,1 Stop,Business,3h 31m,55,17914
IndiGo,2025-03-11,6E4771,Bangalore,Mumbai,Bangalore -> Mumbai,2025-03-11 04:30:00,2025-03-11 15:24:00,2+ Stops,Economy,10h 54m,46,8933
IndiGo,2025-03-30,6E4428,Bangalore,Kolkata,Bangalore -> Kolkata,2025-03-30 05:30:00,2025-03-30 06:44:00,Non-stop,Economy,1h 14m,57,4765
SpiceJet,2025-07-12,SG9114,Hyderabad,Delhi,Hyderabad -> Delhi,2025-07-12 18:50:00,2025-07-13 05:09:00,2+ Stops,Business,10h 19m,52,13132
SpiceJet,2025-02-01,SG6984,Delhi,Kolkata,Delhi -> Kolkata,2025-02-01 04:00:00,2025-02-01 05:06:00,Non-stop,Business,1h 6m,18,8544
SpiceJet,2025-02-27,SG6751,Hyderabad,Delhi,Hyderabad -> Delhi,2025-02-27 18:30:00,2025-02-27 19:51:00,Non-stop,Economy,1h 21m,17,4016
Akasa Air,2025-02-15,QP9422,Chennai,Delhi,Chennai -> Delhi,2025-02-15 15:10:00,2025-02-16 02:18:00,2+ Stops,Economy,11h 8m,41,10652
Vistara,2025-05-07,UK186,Chennai,Hyderabad,Chennai -> Hyderabad,2025-05-07 18:50:00,2025-05-08 07:43:00,2+ Stops,Economy,12h 53m,57,13777
Air India,2025-07-30,AI1072,Kolkata,Mumbai,Kolkata -> Mumbai,2025-07-30 12:10:00,2025-07-30 20:32:00,2+ Stops,Economy,8h 22m,40,12732
Vistara,2025-06-23,UK9575,Bangalore,Kolkata,Bangalore -> Kolkata,2025-06-23 03:45:00,2025-06-23 09:26:00,1 Stop,Business,5h 41m,16,8852
Go First,2025-03-19,G83232,Chennai,Bangalore,Chennai -> Bangalore,2025-03-19 18:10:00,2025-03-20 04:17:00,2+ Stops,Economy,10h 7m,45,9497
IndiGo,2025-03-07,6E3882,Mumbai,Delhi,Mumbai -> Delhi,2025-03-07 21:20:00,2025-03-07 23:37:00,Non-stop,Economy,2h 17m,47,7206
